room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
18702892,1271,122897400,Entire home/apt,,Nashville,,19,0,0.0,12,3.0,,850.0,,2017-05-16 09:01:28.112658,36.151156,-86.7881,0101000020E6100000917EFB3A70B255C00E4C6E1459134240
16311186,1271,105602635,Entire home/apt,,Nashville,,21,0,0.0,4,1.0,,899.0,,2017-05-16 09:01:28.108474,36.155475,-86.798288,0101000020E610000083328D2617B355C03D2CD49AE6134240
17734429,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,5,2.0,,999.0,,2017-05-16 09:01:25.903477,36.156799,-86.764972,0101000020E6100000C4961E4DF5B055C0D38558FD11144240
11671060,1271,22933775,Entire home/apt,,Nashville,,21,5,5.0,12,4.0,,692.0,,2017-05-16 09:01:24.923345,36.15171,-86.803936,0101000020E6100000EE04FBAF73B355C0F33CB83B6B134240
15902426,1271,103155265,Entire home/apt,,Nashville,,6,5,5.0,12,4.0,,633.0,,2017-05-16 09:01:24.837611,36.179787,-86.74037,0101000020E6100000213CDA3862AF55C07B9FAA4203174240
7146823,1271,37425979,Entire home/apt,,Nashville,,25,0,0.0,12,4.0,,600.0,,2017-05-16 09:01:24.114966,36.10546,-86.785663,0101000020E610000058AB764D48B255C0A18499B67F0D4240
13296782,1271,47579449,Entire home/apt,,Nashville,,6,4,5.0,10,4.0,,527.0,,2017-05-16 09:01:24.111916,36.181079,-86.736593,0101000020E61000009A5DF75624AF55C0067FBF982D174240
11574614,1271,61175381,Entire home/apt,,Nashville,,18,20,5.0,8,4.0,,699.0,,2017-05-16 09:01:24.107323,36.127948,-86.809998,0101000020E6100000D3F4D901D7B355C058CB9D9960104240
2906397,1271,6179167,Entire home/apt,,Nashville,,18,21,5.0,9,4.0,,699.0,,2017-05-16 09:01:22.324941,36.13448,-86.819383,0101000020E61000007FF964C570B455C0A9FB00A436114240
8569230,1271,319913,Entire home/apt,,Nashville,,18,3,5.0,10,3.0,,699.0,,2017-05-16 09:01:21.531034,36.120821,-86.793403,0101000020E61000001763601DC7B255C0C3D50110770F4240
8569044,1271,319913,Entire home/apt,,Nashville,,18,1,0.0,10,3.0,,635.0,,2017-05-16 09:01:20.234494,36.120208,-86.79238,0101000020E610000049809A5AB6B255C0D95BCAF9620F4240
14800234,1271,91995688,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,699.0,,2017-05-16 09:01:20.232290,36.169217,-86.78254,0101000020E6100000F5F3A62215B255C0B07614E7A8154240
12570235,1271,40793070,Entire home/apt,,Nashville,,6,1,0.0,10,4.0,,600.0,,2017-05-16 09:01:20.219809,36.174412,-86.749976,0101000020E61000003C32569BFFAF55C0D503E62153164240
4949787,1271,25467486,Entire home/apt,,Nashville,,17,59,5.0,12,4.0,,570.0,,2017-05-16 09:01:20.142108,36.123765,-86.763932,0101000020E61000008B170B43E4B055C0D9B11188D70F4240
14800239,1271,91995688,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,699.0,,2017-05-16 09:01:20.128203,36.167445,-86.78252,0101000020E6100000D21DC4CE14B255C07A7077D66E154240
6254999,1271,31139913,Entire home/apt,,Nashville,,6,22,5.0,12,4.0,,550.0,,2017-05-16 09:01:18.736121,36.175232,-86.741142,0101000020E61000004AECDADE6EAF55C0399B8E006E164240
13860144,1271,81893479,Entire home/apt,,Nashville,,6,7,5.0,12,4.0,,575.0,,2017-05-16 09:01:18.732016,36.182926,-86.719776,0101000020E6100000861C5BCF10AE55C047CB811E6A174240
13065298,1271,72392448,Entire home/apt,,Nashville,,17,0,0.0,6,2.0,,650.0,,2017-05-16 09:01:18.721633,36.12905,-86.775795,0101000020E61000009F5912A0A6B155C03FC6DCB584104240
14678451,1271,86748234,Entire home/apt,,Nashville,,19,0,0.0,8,3.0,,599.0,,2017-05-16 09:01:18.719167,36.184871,-86.79148,0101000020E61000000ADCBA9BA7B255C04A7D59DAA9174240
11473813,1271,9174933,Entire home/apt,,Nashville,,21,1,0.0,9,4.0,,555.0,,2017-05-16 09:01:18.716368,36.146428,-86.81811,0101000020E6100000F5A10BEA5BB455C0FE9B1727BE124240
